0.000000000000000000e+00 4.734086583070168386e-02 -3.410282379169949502e-02 7.469472844880765613e-03 5.323563750093537536e-03 -1.707696599164403375e-02 1.184159727634509669e-03 1.328281510024184077e-03 -3.012908038583112305e-03 1.438627953472830252e-03
1.000000000000000056e-01 1.918067230324876637e-01 5.408040813957439019e-02 -6.127900505297302625e-02 -2.991698390098400384e-02 9.763281893666389544e-04 -7.755018832692010637e-03 -8.414029022674577446e-03 -1.170446764547832322e-02 -1.136494554170987444e-02
2.000000000000000111e-01 -8.327714735969431181e-02 -1.711576375899679162e-02 2.556781738047097033e-02 -2.028262993806523307e-02 -1.927237070891092349e-02 -1.697780963320812478e-02 -1.885437900368639938e-02 -1.773840785235807418e-02 -1.554830610196657713e-02
3.000000000000000444e-01 -6.929196362684877930e-02 5.209659351989667092e-02 -1.042185651881148353e-02 -3.520416966127196817e-02 -6.876813279568716117e-03 -1.236608164287919878e-02 -1.409736020504317316e-02 -2.151211260862817207e-02 -2.160059750364240472e-02
4.000000000000000222e-01 1.049763970905531890e-01 -1.683961386697476956e-02 1.355369174523951212e-02 -1.617195280391615225e-02 -2.792913262431269764e-02 -1.347543056301494201e-02 -1.980101671238809410e-02 -2.279110221490161098e-02 -2.221139932588531152e-02
5.000000000000000000e-01 6.753971009369447165e-02 -1.495484381620916167e-02 -2.370852710682096187e-03 -3.215908084227887126e-02 -2.236711211799218002e-02 -2.235778526496512431e-02 -2.113450280868047274e-02 -2.197802750788630313e-02 -2.057051800265190938e-02
6.000000000000000888e-01 1.800990872561377548e-02 1.203830076550442899e-02 -4.617499606011585961e-02 -1.676645185399491811e-02 -5.646566998928473358e-03 -3.075290253028360038e-03 -1.621078414550151600e-02 -1.737054484349606284e-02 -1.619375818737004563e-02
7.000000000000000666e-01 3.790196834534458048e-02 3.491079874402581301e-02 -1.108635806657080544e-02 -2.715960914406334581e-02 2.541242067929633253e-03 -9.447824961804017138e-03 -1.104065048740433819e-02 -1.181222043657904897e-02 -1.227831944977781677e-02
8.000000000000000444e-01 1.278238590156779639e-02 -4.286981171599923979e-02 -2.220979925508105232e-02 6.485985035607448948e-03 -2.287313328197191839e-02 -4.887066708853355160e-03 5.313708060631569530e-04 -4.577879236762933887e-03 -4.335268732660599485e-03
9.000000000000000222e-01 -5.218722134589637296e-02 3.096171286157994168e-02 1.376441479861102019e-02 -1.668640563582244468e-02 -5.827945356779695371e-03 5.861664314498840102e-03 2.874526604628821480e-03 6.384765985863159049e-03 5.344806502588513898e-03
